injury_notes,injury_body_part,sport,injury_status,player_id,rotoworld_id,search_full_name,years_exp,fantasy_positions,search_rank,number,practice_participation,team,last_name,weight,birth_state,status,pandascore_id,depth_chart_order,position,stats_id,rotowire_id,first_name,college,high_school,search_last_name,gsis_id,sportradar_id,birth_city,fantasy_data_id,swish_id,birth_date,news_updated,metadata,search_first_name,hashtag,active,depth_chart_position,espn_id,yahoo_id,birth_country,full_name,practice_description,age,height,injury_start_date
,,nfl,,8595,,kyricmcgowan,0,['WR'],9999999,83,,WAS,McGowan,198,,Active,,,WR,,16360,Kyric,Georgia Tech,Dalton (GA),mcgowan,,c1ebe1f0-ca62-11ec-bdda-4fe5bed84950,,,1055267,,1651546877742,,kyric,#kyricmcgowan-NFL-WAS-83,True,,,,,Kyric McGowan,,,71,
,,nfl,Questionable,3199,11222,michaelthomas,6,['WR'],57,13,,NO,Thomas,212,,Active,,1,WR,653699,10759,Michael,Ohio State,Woodland Hills Taft (CA),thomas,00-0032765,90c1756d-1f47-41b7-89fe-b113c9850bc1,,17960,653699,1993-03-03,1653593117842,{'injury_override_regular_2021_3': 'PUP'},michael,#michaelthomas-NFL-NO-13,True,LWR,2976316,29281,,Michael Thomas,,29,75,
,,nfl,,1850,,tajhboyd,1,['QB'],9999999,3,,,Boyd,222,,Inactive,,,QB,506599,,Tajh,Clemson,,boyd,,75404d15-88d6-43e0-9258-27112b070a43,,16058,,1990-09-25,,,tajh,#tajhboyd-NFL-FA-3,False,,16812,,,Tajh Boyd,,26,"6'1""",
,,nfl,,6487,,charlesscarff,3,['TE'],9999999,85,,,Scarff,249,,Inactive,,,TE,838249,14120,Charles,Delaware,Lancaster Catholic (PA),scarff, 00-0035119,0c49b066-56ef-42dd-b9f1-1e956cced841,,21275,,1996-05-03,1598920530072,,charles,#charlesscarff-NFL-FA-85,True,,3127376,32314,,Charles Scarff,,25,77,
,,nfl,Questionable,2355,10375,ronalddarby,7,['DB'],9999999,23,,DEN,Darby,193,,Active,,1,CB,,10408,Ronald,Florida State,Potomac (MD),darby,00-0032195,c63eb787-fa1f-406b-82a1-2eed0a65b58c,,16811,691515,1994-01-02,1653340212329,,ronald,#ronalddarby-NFL-DEN-23,True,RCB,2969920,28438,,Ronald Darby,,28,71,
,,nfl,,6818,,justinmadubuike,2,['DL'],9999999,92,,BAL,Madubuike,300,,Active,,1,DT,,14380,Justin,Texas A&M,McKinney North (TX),madubuike,,904f702b-e8b1-4fef-a4a0-278d18cc15e3,,21900,922136,1997-11-17,1640883341613,,justin,#justinmadubuike-NFL-BAL-92,True,DT,4035245,32741,,Justin Madubuike,,24,75,
,,nfl,,8209,,makaipolk,0,['WR'],9999999,18,,BAL,Polk,197,,Active,,3,WR,,16099,Makai,Mississippi State,El Cerrito (CA),polk,,cbf4b630-c97d-11ec-a1a0-57a82b503f37,,,1161426,2001-08-04,,{'source_id': '5aa96f1e-8257-4551-be64-0ca0181faf32'},makai,#makaipolk-NFL-BAL-18,True,LWR,,,,Makai Polk,,20,75,
,,nfl,,257,5026,husainabdullah,12,['DB'],9999999,39,,,Abdullah,204,,Inactive,,,FS,,6297,Husain,Washington State,Pomona (CA),abdullah,,1c4cf2d1-5bcf-457a-9f5b-34e4949edfcd,,6411,,1985-07-27,,,husain,#husainabdullah-NFL-FA-39,False,,11910,9063,,Husain Abdullah,,35,"6'0""",
,,nfl,,6898,,anthonygordon,2,['QB'],9999999,10,,,Gordon,201,,Active,,,QB,,14431,Anthony,Washington State,Terra Nova (CA),gordon,,71a2444a-a6b1-4e62-8974-2d858e2c5b73,,21816,924166,1996-08-28,1652217931742,,anthony,#anthonygordon-NFL-FA-10,True,,4055171,33266,,Anthony Gordon,,25,75,
,,nfl,,2817,,danielrodriguez,0,['WR'],9999999,3,,,Rodriguez,180,,Inactive,,,WR,700055,,Daniel,Clemson,,rodriguez,,fa1ac661-9b71-4dbd-8321-f3c6a7ec79e6,,17285,,1988-01-08,,,daniel,#danielrodriguez-NFL-FA-3,False,,2983134,29089,,Daniel Rodriguez,,29,"5'8""",
,,nfl,,1952,9628,andrehal,8,['DB'],9999999,29,,,Hal,195,,Inactive,,,FS,555644,9676,Andre,Vanderbilt,Port Allen (LA),hal,00-0031087,513caa63-d30d-4cde-b605-8cf825a4ef27,,16203,,1992-05-30,1554248138033,,andre,#andrehal-NFL-FA-29,False,,17467,27744,,Andre Hal,,29,70,
,,nfl,,3210,10325,cardalejones,6,['QB'],9999999,7,,,Jones,250,,Inactive,,,QB,653682,11007,Cardale,Ohio State,Glenville,jones,00-0033098,92c02ef1-8400-4f5a-9420-6458755e14d4,,17971,,1992-09-29,1568835621332,,cardale,#cardalejones-NFL-FA-7,False,,2976299,29373,,Cardale Jones,,29,77,
,,nfl,Questionable,4148,12240,carllawson,5,['DL'],529,58,,NYJ,Lawson,265,,Active,,1,DE,,11926,Carl,Auburn,Milton (GA),lawson,00-0033463,e75ed538-1888-4864-bd1d-e703d1ce4b5b,,18994,746888,1995-06-29,1652290236995,,carl,#carllawson-NFL-NYJ-58,True,LDE,3051911,30229,,Carl Lawson,,26,74,
,,nfl,,5781,13906,malikturner,4,['WR'],9999999,17,,SF,Turner,202,,Active,,3,WR,830686,13378,Malik,Illinois,Sacred Heart-Griffin (IL),turner,00-0034867,82a7e1ff-019a-4f4b-aeb6-c41420e44891,,20684,830686,1996-01-30,1649721046673,,malik,#malikturner-NFL-SF-17,True,SWR,3115928,31777,,Malik Turner,,26,74,
,,nfl,,4888,13066,markhelfrich,0,,9999999,0,,,Helfrich,,,Inactive,,,,,,Mark,,,helfrich,,,,19786,,,,,mark,#markhelfrich-NFL-FA-0,False,,,,,Mark Helfrich,,,,
,,nfl,,6992,,michaelwarren,2,['RB'],356,0,,DET,Warren,224,,Inactive,,,RB,,14496,Michael,Cincinnati,Central Catholic (OH),warren,,4a096c4e-7738-43b3-984c-7ea604a96742,,21793,,1998-11-12,1629159044233,,michael,#michaelwarren-NFL-DET-0,True,,4239083,32972,,Michael Warren,,23,71,
,,nfl,,1746,,tevitafinau,1,['DL'],9999999,92,,,Finau,283,,Inactive,,,DE,,,Tevita,Utah,,finau,,d65f9afe-1001-4c56-9b0e-957250f79316,,15736,,1986-01-13,,,tevita,#tevitafinau-NFL-FA-92,False,,15704,26139,,Tevita Finau,,31,"6'4""",
,,nfl,,3124,9300,rayhorton,0,,9999999,0,,,Horton,,,Inactive,,,,,,Ray,,,horton,,,,17878,,,,,ray,#rayhorton-NFL-FA-0,False,,,,,Ray Horton,,,,
,,nfl,,2041,,torrenceallen,2,['WR'],9999999,83,,,Allen,190,,Inactive,,,WR,794253,10061,Torrence,West Texas A&M,,allen,,ec251689-808b-4f35-b1f7-743d4a37722a,,16333,,1991-03-31,,,torrence,#torrenceallen-NFL-FA-83,False,,16962,27844,,Torrence Allen,,27,"6'0""",
,,nfl,,2286,,andrewfurney,1,['K'],9999999,8,,,Furney,215,,Inactive,,,K,560191,,Andrew,Washington State,,furney,,4b482230-621c-4b7f-8d5d-cf50da82e7c4,,16719,,1991-06-23,,,andrew,#andrewfurney-NFL-FA-8,False,,17492,,,Andrew Furney,,26,"5'10""",
,,nfl,,4211,,dylandonahue,5,['LB'],9999999,49,,,Donahue,248,,Inactive,,,OLB,,11912,Dylan,West Georgia,Billings West (MT),donahue,00-0033961,139d8533-cbd7-4a41-9567-f1ce1c641311,,19057,,1992-08-20,1544580937621,,dylan,#dylandonahue-NFL-FA-49,False,,2584628,30294,,Dylan Donahue,,29,75,
,,nfl,,WAS,,,,['DEF'],,,,WAS,Commanders,,,,,,DEF,,,Washington,,,,,,,,,,,,,,True,,,,,,,,,
,,nfl,,1294,,joshchapman,4,['DL'],9999999,96,,,Chapman,316,,Inactive,,,NT,,,Josh,Alabama,,chapman,,2f0190fc-16ce-486c-bcb5-f752ed345275,,14760,,1989-06-10,,,josh,#joshchapman-NFL-FA-96,False,,15039,25846,,Josh Chapman,,28,"6'1""",
,,nfl,,2050,10198,brandenoliver,6,['RB'],9999999,40,,,Oliver,208,,Inactive,,,RB,506492,9550,Branden,Buffalo,Miami Southridge (FL),oliver,00-0031277,7dac43ce-3a74-4033-b63f-bf9171a24a55,,16345,,1991-05-07,1535844652782,,branden,#brandenoliver-NFL-FA-40,False,,17452,28272,,Branden Oliver,,29,"5'8""",
,,nfl,,256,,rianlindell,14,['K'],9999999,4,,,Lindell,233,,Inactive,,,K,,,Rian,Washington State,,lindell,,,,6410,,1977-01-20,,,rian,#rianlindell-NFL-FA-4,False,,,,,Rian Lindell,,40,"6'3""",
,,nfl,,1216,7622,justinbethel,10,['DB'],9999999,29,,NE,Bethel,200,,Active,,,DB,461022,8306,Justin,Presbyterian,Blythewood (SC),bethel,00-0029530,f403d099-29d4-43cd-bf79-4aeeb8dc6cd3,,14469,461022,1990-06-17,1615572315965,{'injury_override_regular_2020_5': 'COV'},justin,#justinbethel-NFL-NE-29,True,,15089,25887,,Justin Bethel,,31,72,
,,nfl,,3126,11241,terryrobiskie,0,,9999999,0,,,Robiskie,,,Inactive,,,,,,Terry,,,robiskie,,,,17880,,,,,terry,#terryrobiskie-NFL-FA-0,False,,,,,Terry Robiskie,,,,
,,nfl,,1154,,ryanbroyles,4,['WR'],9999999,84,,,Broyles,188,,Inactive,,,WR,381163,,Ryan,Oklahoma,,broyles,,a84c6342-3333-4af7-bf29-ea954e156835,,14203,,1988-04-09,,,ryan,#ryanbroyles-NFL-FA-84,False,,14919,25764,,Ryan Broyles,,29,"5'10""",
,,nfl,Sus,4981,13137,calvinridley,4,['WR'],170,18,,ATL,Ridley,190,,Inactive,,,WR,884013,12616,Calvin,Alabama,Monarch (FL),ridley,00-0034837,926e2674-52d6-4cec-9991-46ee85cc8cfd,,19802,884013,1994-12-20,1646947237717,"{'injury_override_off_2022_1': 'Sus', 'injury_override_off_2022_0': 'Sus'}",calvin,#calvinridley-NFL-ATL-18,True,,3925357,30996,,Calvin Ridley,,27,73,
,,nfl,,4440,,paulboyette,5,['DL'],9999999,91,,,Boyette,317,,Inactive,,,DE,,12047,Paul,Texas,Humble (TX),boyette,,4e200230-c115-46ac-a560-da77f9001567,,19301,,1993-12-16,1534639807758,,paul,#paulboyette-NFL-FA-91,True,,2971696,30624,,Paul Boyette,,28,75,
,,nfl,,4614,12896,rileymccarron,5,['WR'],9999999,17,,,McCarron,185,,Inactive,,,WR,702925,12307,Riley,Iowa,Wahlert (IA),mccarron,00-0033773,ab9cf0fc-f4e4-4d18-8132-97e518eb14f3,,19504,,1993-06-16,1537319403953,,riley,#rileymccarron-NFL-FA-17,False,,2988624,30808,,Riley McCarron,,28,69,
,,nfl,,8898,,cjbrewer,0,['DL'],9999999,98,,BUF,Brewer,290,,Active,,,DT,,16587,C.J.,Coastal Carolina,Bowdon (GA),brewer,,0af89610-d556-11ec-addb-6dd6dcd40f21,,,951331,,,,cj,#cjbrewer-NFL-BUF-98,True,,,,,C.J. Brewer,,,74,
,,nfl,,2782,,nikodavis,0,['DL'],9999999,67,,,Davis,285,,Inactive,,,DE,,,Niko,Liberty,,davis,,d589f707-c40d-44b2-8c44-bf78e2d222bc,,17250,,1990-06-18,,,niko,#nikodavis-NFL-FA-67,False,,2575185,,,Niko Davis,,28,"6'5""",
,,nfl,,4237,12418,marquezwhite,5,['DB'],9999999,39,,,White,172,,Active,,,CB,742157,12035,Marquez,Florida State,Northview (AL),white,00-0033586,db4eadbd-ef43-444c-9e33-1ee781dc9965,,19083,,1994-10-29,1531878301459,,marquez,#marquezwhite-NFL-FA-39,True,,3045378,30329,,Marquez White,,27,73,
,,nfl,,3573,11682,brandonwilds,6,['RB'],9999999,35,,,Wilds,220,,Inactive,,,RB,604939,10898,Brandon,South Carolina,Blythewood (SC),wilds,00-0032593,abeef681-4be7-4ff3-9076-c72ec5a1b2e4,,18349,,1993-07-22,1567195556672,,brandon,#brandonwilds-NFL-FA-35,False,,2577692,29661,,Brandon Wilds,,28,72,
,,nfl,,1191,,coreywhite,8,['DB'],9999999,38,,,White,206,,Inactive,,,CB,459492,8351,Corey,Samford,Dunwoody (GA),white,,ccf1d49a-deda-4254-abd2-1ee79eb34c13,,14370,,1990-05-09,1524271501245,,corey,#coreywhite-NFL-FA-38,False,,15086,25872,,Corey White,,30,"6'1""",
,,nfl,,8770,,malikwilliams,0,['WR'],9999999,81,,BUF,Williams,185,,Active,,,WR,,16502,Malik,Appalachian State,Chester Senior (SC),williams,,2b686e80-d2e9-11ec-96a0-c3471a31202c,,,975350,1999-01-14,1652580629869,,malik,#malikwilliams-NFL-BUF-81,True,,,,,Malik Williams,,23,70,
,,nfl,,1399,,jacobschum,7,['P'],9999999,10,,,Schum,211,,Inactive,,,P,544154,10142,Jacob,Buffalo,Frontier (NY),schum,,cdfb58eb-2920-47d4-9c24-df5de536450e,,14941,,1989-01-11,,,jacob,#jacobschum-NFL-FA-10,False,,15774,26613,,Jacob Schum,,31,"5'11""",
,,nfl,,1080,,johnhughes,8,['DL'],9999999,91,,,Hughes,320,,Inactive,,,DT,382267,8221,John,Cincinnati,Lincoln (OH),hughes,,51e6e64c-7150-4588-847a-44b9ce7e0903,,13896,,1989-04-27,1534082406005,,john,#johnhughes-NFL-FA-91,False,,14954,25797,,John Hughes,,31,"6'2""",
,,nfl,,8738,,dionnovil,0,['DL'],9999999,63,,,Novil,308,,Active,,,DT,,16410,Dion,North Texas,Wylie (TX),novil,,55082050-d208-11ec-ab20-b37737d70cc4,,,1056462,,,,dion,#dionnovil-NFL-FA-63,True,,,,,Dion Novil,,,76,
,,nfl,,7728,,jameshudson,1,"['OT', 'OL']",9999999,66,,CLE,Hudson,313,,Active,,3,OT,,15498,James,Cincinnati,Central Catholic (OH),hudson,,9a147206-ba5e-49b9-801c-a7f6832be2c5,,,1074707,1999-05-13,1640297739252,,james,#jameshudson-NFL-CLE-66,True,LT,,,,James Hudson,,23,77,
,,nfl,,3756,,ryandisalvo,6,['LS'],9999999,49,,,DiSalvo,240,,Inactive,,,LS,,11584,Ryan,San Jose State,Hollister,disalvo,,560dbfe1-923d-49ef-a5dd-a24b2f6b1f5d,,18568,,1994-01-20,1508894701681,,ryan,#ryandisalvo-NFL-FA-49,True,,2981193,29826,,Ryan DiSalvo,,27,76,
,,nfl,,2874,,leonmackey,1,['DL'],9999999,78,,,Mackey,260,,Inactive,,,DE,,,Leon,Texas Tech,,mackey,,e4192fdc-8e9d-43d1-91f0-0ca77f673920,,17342,,1989-02-28,,,leon,#leonmackey-NFL-FA-78,False,,2577644,28367,,Leon Mackey,,28,"6'5""",
,,nfl,,2383,10449,pjwilliams,7,['DB'],9999999,26,,NO,Williams,196,,Active,,2,CB,,10409,P.J.,Florida State,Vanguard (FL),williams,00-0032059,36538da8-9ac7-4f7d-beb4-8b773da4a080,,16839,691535,1993-06-01,1649172646668,,pj,#pjwilliams-NFL-NO-26,True,NB,2977661,28466,,P.J. Williams,,29,72,
,,nfl,,8248,,kalilpimpleton,0,['WR'],9999999,83,,DET,Pimpleton,172,,Active,,,WR,,16168,Kalil,Central Michigan,Muskegon (MI),pimpleton,,580225c0-d321-11ec-8b77-45b1765fd110,,,976983,,1652997316571,{'source_id': '8bc677f4-c34b-4ef6-960d-054b7b3d42a0'},kalil,#kalilpimpleton-NFL-DET-83,True,,,,,Kalil Pimpleton,,,68,
,,nfl,,7224,,samfranklin,2,['DB'],9999999,42,,CAR,Franklin,210,,Active,,3,DB,,14931,Sam,Temple,Citrus (FL),franklin,,3b1bb0da-607a-4502-8855-8ab5095334da,,22226,943656,1996-02-02,1640733002767,,sam,#samfranklin-NFL-CAR-42,True,SS,4044133,33137,,Sam Franklin,,26,75,
,,nfl,,6374,,drewbelcher,3,['TE'],9999999,82,,,Belcher,250,,Active,,,TE,830271,14041,Drew,Maine,Reading Memorial (MA),belcher, 00-0035484,7467134f-8eb3-4fde-ac64-e2fc9f9789db,,21319,,1996-04-18,1568813121831,,drew,#drewbelcher-NFL-FA-82,True,,3120540,32153,,Drew Belcher,,25,75,
,,nfl,,2025,9572,albertwilson,8,['WR'],9999999,25,,MIN,Wilson,195,,Active,,2,WR,556955,9491,Albert,Georgia State,Port St. Lucie (FL),wilson,00-0030669,2958ea86-e2dc-4719-93e5-cc9d093ca963,,16308,556955,1992-07-12,1654051227311,,albert,#albertwilson-NFL-MIN-25,True,SWR,17051,28046,,Albert Wilson,,29,69,
,,nfl,,6160,,josiahtauaefa,3,['LB'],1604,0,,,Tauaefa,232,,Active,,,ILB,881829,13487,Josiah,UTSA,Lake Dallas (TX),tauaefa, 00-0035016,18750e3f-5625-4253-ac44-61c6b8fc07d4,,20958,,1997-05-05,1599605455494,,josiah,#josiahtauaefa-NFL-FA-0,True,,3914595,32241,,Josiah Tauaefa,,24,73,
,,nfl,,1707,,spencerlanning,9,['P'],9999999,4,,,Lanning,200,,Inactive,,,P,,,Spencer,South Carolina,York Comprehensive (SC),lanning,,4ca3e1bb-6604-41df-b86f-4b07c758421c,,15603,,1988-05-21,,,spencer,#spencerlanning-NFL-FA-4,False,,14342,25150,,Spencer Lanning,,32,"5'11""",
,,nfl,,3114,9467,deanspanos,0,,9999999,0,,,Spanos,,,Inactive,,,,,,Dean,,,spanos,,,,17867,,,,,dean,#deanspanos-NFL-FA-0,False,,,,,Dean Spanos,,,,
,,nfl,,199,,joncondo,17,['LS'],9999999,59,,,Condo,240,,Active,,,LS,,7122,Jon,Maryland,Philipsburg-Osceola (PA),condo, 00-0023177,9c6d7765-03dd-4266-aeaa-926e5a85235f,,5083,,1981-08-26,1569283535171,,jon,#joncondo-NFL-FA-59,True,,9276,7455,,Jon Condo,,40,75,
,,nfl,,2333,10454,lakentomlinson,7,"['OL', 'OG']",9999999,78,,NYJ,Tomlinson,323,,Active,,1,OL,,10269,Laken,Duke,Lane Technical (IL),tomlinson,00-0032234,d0b7699f-5e18-4631-813d-2f709ee4b281,,16789,556181,1992-02-09,1647288014114,,laken,#lakentomlinson-NFL-NYJ-78,True,LG,2512477,28416,,Laken Tomlinson,,30,75,
,,nfl,,929,6574,davonhouse,11,['DB'],9999999,0,,,House,195,,Injured Reserve,,,CB,410959,7518,Davon,New Mexico State,Palmdale (CA),house,00-0028069,bb6c7928-54f1-43bd-bf14-f2645644dda9,,13236,,1989-07-10,1539104710413,,davon,#davonhouse-NFL-FA-0,False,,14157,24918,,Davon House,,32,72,
,,nfl,,4218,12305,trenttaylor,5,['WR'],9999999,11,,CIN,Taylor,178,,Active,,2,WR,733849,11881,Trent,Louisiana Tech,Evangel Christian Academy (LA),taylor,00-0033292,3e2e74e9-18a8-4275-9437-b275db27e2ff,,19064,733849,1994-04-30,1645569607000,,trent,#trenttaylor-NFL-CIN-11,True,SWR,3040569,30290,,Trent Taylor,,28,68,
,,nfl,,7609,,demetricfelton,1,['RB'],9999999,25,,CLE,Felton,189,,Active,,,RB,,15266,Demetric,UCLA,Great Oak (CA),felton,,0752f1c9-fc3e-44bc-b6ad-03f8f7f4191c,,,914812,1998-07-16,1653275703872,{'source_id': 'db0c451f-c60a-4865-9eb2-38db5aa86a1e'},demetric,#demetricfelton-NFL-CLE-25,True,,,,,Demetric Felton,,23,69,
,,nfl,,7799,,roylopez,1,['DL'],9999999,91,,HOU,Lopez,318,,Active,,1,DT,,15610,Roy,Arizona,Mesquite (AZ),lopez,,23a30b80-1549-4ae8-afac-0fa99636c71e,,,912754,1997-08-07,1640892642729,,roy,#roylopez-NFL-HOU-91,True,NT,,,,Roy Lopez,,24,74,
,,nfl,,7515,,sergiocastillo,8,['K'],,6,,,Castillo,195,,Active,,,K,,9844,Sergio,West Texas A&amp;M,La Joya (TX),castillo,,1f2c7574-f56a-47b3-bd75-5dd0d5ff8d93,,,,1990-11-01,1608166802697,,sergio,#sergiocastillo-NFL-FA-6,True,,,,,Sergio Castillo,,31,71,
,,nfl,Questionable,2446,,mycolepruitt,7,['TE'],9999999,85,,,Pruitt,245,,Active,,,TE,552586,10251,MyCole,Southern Illinois,Kirkwood (MO),pruitt,00-0031585,f22b34cf-6ecf-4522-9c77-1da275dfda7d,,16903,552586,1992-03-24,1642131912988,{'injury_override_regular_2020_5': 'Active'},mycole,#mycolepruitt-NFL-FA-85,True,,2508256,28531,,MyCole Pruitt,,30,74,
,,nfl,,6333,,keiseannixon,3,['DB'],9999999,25,,GB,Nixon,200,,Active,,2,CB,,13701,Keisean,South Carolina,Salesian (CA),nixon, 00-0035133,e94ac14d-0122-4dc8-ad20-b71226cb8cfe,,21239,1067178,1997-06-22,1648332635728,,keisean,#keiseannixon-NFL-GB-25,True,NB,4259493,32348,,Keisean Nixon,,24,70,
,,nfl,,2653,,brianparker,7,['TE'],9999999,89,,,Parker,265,,Inactive,,,TE,556849,10661,Brian,"Albany, N.Y.",McQuaid Jesuit (NY),parker,00-0032089,c5606f69-f550-4b4a-b61a-f1f71142a32f,,17121,,1992-05-30,1571521825824,,brian,#brianparker-NFL-FA-89,False,,2508328,28688,,Brian Parker,,29,76,
,,nfl,,1369,,tommybohanon,9,['RB'],9999999,48,,,Bohanon,246,,Inactive,,,FB,496208,8987,Tommy,Wake Forest,North Fort Myers (FL),bohanon,00-0030112,97c96dce-9b33-4d0e-ba01-5eb629192d19,,14891,,1990-09-10,1608080451561,,tommy,#tommybohanon-NFL-FA-48,False,,15973,26838,,Tommy Bohanon,,31,73,
